country_name,hdi_category,indicator_name,values
Iceland,HIGH HUMAN DEVELOPMENT,rank,1
Norway,HIGH HUMAN DEVELOPMENT,rank,2
Australia,HIGH HUMAN DEVELOPMENT,rank,3
Canada,HIGH HUMAN DEVELOPMENT,rank,4
Ireland,HIGH HUMAN DEVELOPMENT,rank,5
Sweden,HIGH HUMAN DEVELOPMENT,rank,6
Switzerland,HIGH HUMAN DEVELOPMENT,rank,7
Japan,HIGH HUMAN DEVELOPMENT,rank,8
Netherlands,HIGH HUMAN DEVELOPMENT,rank,9
France,HIGH HUMAN DEVELOPMENT,rank,10
Finland,HIGH HUMAN DEVELOPMENT,rank,11
United States,HIGH HUMAN DEVELOPMENT,rank,12
Spain,HIGH HUMAN DEVELOPMENT,rank,13
Denmark,HIGH HUMAN DEVELOPMENT,rank,14
Austria,HIGH HUMAN DEVELOPMENT,rank,15
United Kingdom,HIGH HUMAN DEVELOPMENT,rank,16
Belgium,HIGH HUMAN DEVELOPMENT,rank,17
Luxembourg,HIGH HUMAN DEVELOPMENT,rank,18
New Zealand,HIGH HUMAN DEVELOPMENT,rank,19
Italy,HIGH HUMAN DEVELOPMENT,rank,20
"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,rank,21
Germany,HIGH HUMAN DEVELOPMENT,rank,22
Israel,HIGH HUMAN DEVELOPMENT,rank,23
Greece,HIGH HUMAN DEVELOPMENT,rank,24
Singapore,HIGH HUMAN DEVELOPMENT,rank,25
Korea (Republic of),HIGH HUMAN DEVELOPMENT,rank,26
Slovenia,HIGH HUMAN DEVELOPMENT,rank,27
Cyprus,HIGH HUMAN DEVELOPMENT,rank,28
Portugal,HIGH HUMAN DEVELOPMENT,rank,29
Brunei Darussalam,HIGH HUMAN DEVELOPMENT,rank,30
Barbados,HIGH HUMAN DEVELOPMENT,rank,31
Czech Republic,HIGH HUMAN DEVELOPMENT,rank,32
Kuwait,HIGH HUMAN DEVELOPMENT,rank,33
Malta,HIGH HUMAN DEVELOPMENT,rank,34
Qatar,HIGH HUMAN DEVELOPMENT,rank,35
Hungary,HIGH HUMAN DEVELOPMENT,rank,36
Poland,HIGH HUMAN DEVELOPMENT,rank,37
Argentina,HIGH HUMAN DEVELOPMENT,rank,38
United Arab Emirates,HIGH HUMAN DEVELOPMENT,rank,39
Chile,HIGH HUMAN DEVELOPMENT,rank,40
Bahrain,HIGH HUMAN DEVELOPMENT,rank,41
Slovakia,HIGH HUMAN DEVELOPMENT,rank,42
Lithuania,HIGH HUMAN DEVELOPMENT,rank,43
Estonia,HIGH HUMAN DEVELOPMENT,rank,44
Latvia,HIGH HUMAN DEVELOPMENT,rank,45
Uruguay,HIGH HUMAN DEVELOPMENT,rank,46
Croatia,HIGH HUMAN DEVELOPMENT,rank,47
Costa Rica,HIGH HUMAN DEVELOPMENT,rank,48
Bahamas,HIGH HUMAN DEVELOPMENT,rank,49
Seychelles,HIGH HUMAN DEVELOPMENT,rank,50
Cuba,HIGH HUMAN DEVELOPMENT,rank,51
Mexico,HIGH HUMAN DEVELOPMENT,rank,52
Bulgaria,HIGH HUMAN DEVELOPMENT,rank,53
Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,rank,54
Tonga,HIGH HUMAN DEVELOPMENT,rank,55
Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,rank,56
Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,rank,57
Oman,HIGH HUMAN DEVELOPMENT,rank,58
Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,rank,59
Romania,HIGH HUMAN DEVELOPMENT,rank,60
Saudi Arabia,HIGH HUMAN DEVELOPMENT,rank,61
Panama,HIGH HUMAN DEVELOPMENT,rank,62
Malaysia,HIGH HUMAN DEVELOPMENT,rank,63
Belarus,HIGH HUMAN DEVELOPMENT,rank,64
Mauritius,HIGH HUMAN DEVELOPMENT,rank,65
Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,rank,66
Russian Federation,HIGH HUMAN DEVELOPMENT,rank,67
Albania,HIGH HUMAN DEVELOPMENT,rank,68
